id,center,obj_name,i,f
1,"(575, 71)",person,0,3
2,"(755, 136)",person,1,3
3,"(513, 141)",person,2,3
4,"(149, 479)",person,3,3
1,"(575, 70)",person,0,4
2,"(755, 135)",person,1,4
3,"(514, 141)",person,2,4
4,"(156, 479)",person,3,4
1,"(575, 70)",person,0,5
2,"(756, 134)",person,1,5
3,"(515, 140)",person,2,5
4,"(159, 478)",person,3,5
1,"(576, 70)",person,0,6
2,"(757, 134)",person,1,6
3,"(516, 139)",person,2,6
4,"(165, 478)",person,3,6
1,"(576, 69)",person,0,7
2,"(758, 134)",person,1,7
3,"(518, 138)",person,2,7
4,"(175, 478)",person,3,7
1,"(576, 69)",person,0,8
2,"(758, 134)",person,1,8
3,"(519, 137)",person,2,8
4,"(179, 478)",person,3,8
1,"(576, 69)",person,0,9
2,"(758, 134)",person,1,9
3,"(520, 136)",person,2,9
4,"(184, 472)",person,3,9
1,"(576, 70)",person,0,10
2,"(758, 134)",person,1,10
3,"(520, 136)",person,2,10
4,"(192, 470)",person,3,10
1,"(576, 70)",person,0,11
2,"(758, 134)",person,1,11
3,"(521, 136)",person,2,11
4,"(199, 469)",person,3,11
1,"(576, 69)",person,0,12
2,"(758, 134)",person,1,12
3,"(521, 136)",person,2,12
4,"(204, 460)",person,3,12
1,"(575, 69)",person,0,13
2,"(758, 134)",person,1,13
3,"(521, 134)",person,2,13
4,"(208, 447)",person,3,13
1,"(575, 69)",person,0,14
2,"(758, 134)",person,1,14
3,"(521, 133)",person,2,14
4,"(212, 440)",person,3,14
1,"(575, 69)",person,0,15
2,"(758, 134)",person,1,15
3,"(522, 133)",person,2,15
4,"(220, 438)",person,3,15
1,"(575, 69)",person,0,16
2,"(758, 134)",person,1,16
3,"(523, 132)",person,2,16
4,"(225, 436)",person,3,16
1,"(576, 68)",person,0,17
2,"(758, 134)",person,1,17
3,"(524, 132)",person,2,17
4,"(230, 432)",person,3,17
1,"(576, 68)",person,0,18
2,"(758, 134)",person,1,18
3,"(525, 132)",person,2,18
4,"(238, 421)",person,3,18
1,"(576, 68)",person,0,19
2,"(758, 134)",person,1,19
3,"(526, 131)",person,2,19
4,"(259, 395)",person,3,19
1,"(577, 67)",person,0,20
2,"(758, 134)",person,1,20
3,"(527, 130)",person,2,20
4,"(267, 388)",person,3,20
9,"(291, 476)",person,4,20
1,"(577, 67)",person,0,21
2,"(758, 134)",person,1,21
3,"(528, 129)",person,2,21
9,"(326, 476)",person,3,21
10,"(366, 478)",bicycle,4,21
1,"(577, 68)",person,0,22
2,"(758, 134)",person,1,22
3,"(528, 129)",person,2,22
4,"(244, 403)",person,3,22
9,"(358, 475)",person,4,22
10,"(373, 478)",bicycle,5,22
1,"(577, 68)",person,0,23
2,"(758, 134)",person,1,23
3,"(528, 129)",person,2,23
4,"(250, 398)",person,3,23
9,"(385, 475)",person,4,23
10,"(383, 477)",bicycle,5,23
1,"(577, 67)",person,0,24
2,"(758, 134)",person,1,24
3,"(527, 129)",person,2,24
4,"(255, 394)",person,3,24
9,"(406, 475)",person,4,24
12,"(387, 477)",bicycle,5,24
1,"(576, 67)",person,0,25
2,"(758, 134)",person,1,25
3,"(527, 128)",person,2,25
4,"(261, 393)",person,3,25
9,"(424, 473)",person,4,25
12,"(403, 476)",bicycle,5,25
1,"(577, 67)",person,0,26
2,"(757, 134)",person,1,26
3,"(527, 127)",person,2,26
4,"(266, 392)",person,3,26
9,"(448, 473)",person,4,26
12,"(418, 476)",bicycle,5,26
1,"(577, 67)",person,0,27
2,"(757, 134)",person,1,27
3,"(527, 126)",person,2,27
4,"(270, 385)",person,3,27
12,"(433, 476)",bicycle,4,27
1,"(577, 67)",person,0,28
2,"(757, 134)",person,1,28
3,"(527, 126)",person,2,28
4,"(274, 377)",person,3,28
12,"(446, 462)",bicycle,4,28
13,"(454, 396)",person,5,28
1,"(577, 67)",person,0,29
2,"(757, 135)",person,1,29
3,"(527, 125)",person,2,29
4,"(279, 375)",person,3,29
12,"(454, 440)",bicycle,4,29
13,"(461, 367)",person,5,29
1,"(578, 67)",person,0,30
2,"(757, 135)",person,1,30
3,"(528, 124)",person,2,30
4,"(284, 373)",person,3,30
12,"(466, 417)",bicycle,4,30
13,"(469, 341)",person,5,30
1,"(579, 66)",person,0,31
2,"(757, 135)",person,1,31
3,"(529, 124)",person,2,31
4,"(288, 369)",person,3,31
12,"(472, 396)",bicycle,4,31
13,"(474, 316)",person,5,31
1,"(579, 66)",person,0,32
2,"(757, 135)",person,1,32
3,"(530, 123)",person,2,32
4,"(293, 362)",person,3,32
12,"(479, 376)",bicycle,4,32
13,"(479, 310)",person,5,32
1,"(580, 66)",person,0,33
2,"(757, 135)",person,1,33
3,"(531, 124)",person,2,33
4,"(295, 356)",person,3,33
12,"(488, 366)",bicycle,4,33
13,"(481, 310)",person,5,33
1,"(580, 67)",person,0,34
2,"(757, 134)",person,1,34
3,"(532, 123)",person,2,34
4,"(297, 353)",person,3,34
13,"(481, 302)",person,4,34
15,"(471, 343)",bicycle,5,34
1,"(580, 67)",person,0,35
2,"(757, 134)",person,1,35
3,"(532, 123)",person,2,35
4,"(299, 351)",person,3,35
12,"(480, 330)",bicycle,4,35
13,"(481, 291)",person,5,35
15,"(476, 329)",bicycle,6,35
1,"(580, 67)",person,0,36
2,"(757, 134)",person,1,36
3,"(531, 123)",person,2,36
4,"(304, 346)",person,3,36
12,"(485, 318)",bicycle,4,36
13,"(482, 280)",person,5,36
15,"(478, 315)",bicycle,6,36
1,"(580, 67)",person,0,37
2,"(757, 134)",person,1,37
3,"(531, 123)",person,2,37
4,"(308, 338)",person,3,37
13,"(484, 265)",person,4,37
15,"(479, 303)",bicycle,5,37
1,"(580, 67)",person,0,38
2,"(757, 134)",person,1,38
3,"(530, 122)",person,2,38
4,"(311, 335)",person,3,38
13,"(485, 252)",person,4,38
15,"(480, 291)",bicycle,5,38
1,"(580, 67)",person,0,39
2,"(757, 134)",person,1,39
3,"(530, 121)",person,2,39
4,"(313, 332)",person,3,39
12,"(489, 282)",bicycle,4,39
13,"(488, 242)",person,5,39
15,"(482, 282)",bicycle,6,39
1,"(580, 67)",person,0,40
2,"(757, 134)",person,1,40
3,"(530, 121)",person,2,40
4,"(319, 327)",person,3,40
12,"(493, 270)",bicycle,4,40
13,"(490, 239)",person,5,40
15,"(484, 272)",bicycle,6,40
1,"(580, 66)",person,0,41
2,"(757, 134)",person,1,41
3,"(530, 121)",person,2,41
4,"(326, 317)",person,3,41
13,"(493, 236)",person,4,41
15,"(485, 263)",bicycle,5,41
1,"(581, 65)",person,0,42
2,"(757, 134)",person,1,42
3,"(531, 121)",person,2,42
4,"(331, 314)",person,3,42
13,"(496, 231)",person,4,42
15,"(488, 254)",bicycle,5,42
1,"(581, 65)",person,0,43
2,"(757, 134)",person,1,43
3,"(531, 121)",person,2,43
4,"(338, 313)",person,3,43
13,"(500, 227)",person,4,43
15,"(490, 246)",bicycle,5,43
1,"(582, 64)",person,0,44
2,"(757, 134)",person,1,44
3,"(532, 120)",person,2,44
4,"(345, 310)",person,3,44
13,"(504, 221)",person,4,44
15,"(493, 239)",bicycle,5,44
1,"(582, 64)",person,0,45
2,"(757, 134)",person,1,45
3,"(534, 119)",person,2,45
4,"(348, 302)",person,3,45
12,"(509, 233)",bicycle,4,45
13,"(509, 212)",person,5,45
15,"(496, 232)",bicycle,6,45
1,"(582, 64)",person,0,46
2,"(757, 134)",person,1,46
3,"(535, 118)",person,2,46
4,"(347, 300)",person,3,46
12,"(513, 226)",bicycle,4,46
13,"(514, 204)",person,5,46
15,"(500, 226)",bicycle,6,46
1,"(582, 64)",person,0,47
2,"(758, 134)",person,1,47
3,"(535, 118)",person,2,47
4,"(347, 298)",person,3,47
12,"(517, 219)",bicycle,4,47
13,"(519, 195)",person,5,47
15,"(502, 217)",bicycle,6,47
1,"(582, 64)",person,0,48
2,"(757, 134)",person,1,48
3,"(534, 113)",person,2,48
4,"(348, 297)",person,3,48
12,"(522, 214)",bicycle,4,48
13,"(524, 187)",person,5,48
1,"(582, 64)",person,0,49
2,"(757, 134)",person,1,49
3,"(534, 103)",person,2,49
4,"(351, 293)",person,3,49
12,"(527, 208)",bicycle,4,49
13,"(528, 177)",person,5,49
1,"(582, 64)",person,0,50
2,"(757, 135)",person,1,50
3,"(535, 95)",person,2,50
4,"(356, 286)",person,3,50
12,"(530, 203)",bicycle,4,50
13,"(532, 174)",person,5,50
15,"(522, 204)",bicycle,6,50
1,"(581, 64)",person,0,51
2,"(757, 135)",person,1,51
3,"(535, 93)",person,2,51
4,"(362, 284)",person,3,51
12,"(535, 196)",bicycle,4,51
13,"(534, 176)",person,5,51
15,"(526, 199)",bicycle,6,51
1,"(581, 64)",person,0,52
2,"(758, 135)",person,1,52
3,"(534, 87)",person,2,52
4,"(367, 284)",person,3,52
13,"(537, 172)",person,4,52
15,"(530, 195)",bicycle,5,52
1,"(581, 63)",person,0,53
2,"(757, 135)",person,1,53
3,"(532, 83)",person,2,53
4,"(370, 279)",person,3,53
12,"(537, 190)",bicycle,4,53
13,"(540, 171)",person,5,53
15,"(533, 191)",bicycle,6,53
1,"(581, 63)",person,0,54
2,"(757, 135)",person,1,54
3,"(532, 83)",person,2,54
4,"(372, 274)",person,3,54
12,"(541, 187)",bicycle,4,54
13,"(543, 168)",person,5,54
15,"(535, 187)",bicycle,6,54
1,"(582, 63)",person,0,55
2,"(757, 135)",person,1,55
3,"(532, 83)",person,2,55
4,"(371, 273)",person,3,55
12,"(542, 184)",bicycle,4,55
13,"(545, 165)",person,5,55
15,"(538, 184)",bicycle,6,55
1,"(582, 63)",person,0,56
2,"(757, 135)",person,1,56
3,"(531, 83)",person,2,56
4,"(372, 272)",person,3,56
12,"(545, 179)",bicycle,4,56
13,"(547, 161)",person,5,56
15,"(540, 181)",bicycle,6,56
1,"(582, 63)",person,0,57
2,"(757, 135)",person,1,57
3,"(531, 83)",person,2,57
