index,Target_ID,Target_Class,Frame,Px,Py,Wx,Wy,Time,RWx_m,RWy_m,t,Vx,Vy,ax,ay,jerkx,jerky,SPF,FPS,real_world_len,real_world_wide
47,1,person,50,582,64,319.12182310598894,164.65438228210985,5.0,6.554195099680568,1.7640548242558922,,-1.295475236696762,0.009179136356033712,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
89,1,person,100,584,60,205.0659969866942,166.6828539428342,10.0,0.07681891619675732,1.8099505060360608,5.0,-1.295475236696762,0.009179136356033712,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
158,2,bicycleperson,50,757,135,996.8958418290622,-1.8632033867952795,5.0,26.750092141567393,-3.2430336938214364,,0.034370332286243865,0.026318719662041246,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
198,2,bicycleperson,90,757,135,996.8958418290622,-1.8632033867952795,9.0,26.88757347071237,-3.1377588151732714,4.0,0.034370332286243865,0.026318719662041246,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
208,2,bicycleperson,100,756,135,997.2459733229788,-1.0753323141075588,10.0,26.890141279987844,-3.1778430676171587,1.0,0.002567809275475952,-0.04008425244388736,-0.031802523010767914,-0.0664029721059286,-0.031802523010767914,-0.0664029721059286,0.09999999999999999,10.0,40,2.3
278,2,bicycleperson,170,777,133,979.4029967287915,-19.934472583127885,17.0,26.683321982167662,-4.030238948190095,7.0,-0.029545613974311737,-0.12177084008184805,-0.004587631892826813,-0.01166951251970867,-0.004587631892826813,-0.01166951251970867,0.09999999999999999,10.0,40,2.3
288,2,bicycleperson,180,824,139,993.5355456859684,-50.52755236514203,18.0,27.041208077886964,-4.195467032482368,1.0,0.3578860957193015,-0.16522808429227265,0.38743170969361324,-0.0434572442104246,0.38743170969361324,-0.0434572442104246,0.09999999999999999,10.0,40,2.3
341,3,person,50,535,95,828.4703800033283,187.246100278802,5.0,25.878081265409875,1.5657938857662808,,-0.761034891974548,-0.011800306877338684,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
404,4,bicycleperson,50,356,286,1355.6061239515302,179.9165652059107,5.0,38.23392428278799,2.1532297381593195,,-0.761034891974548,-0.011800306877338684,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
439,4,bicycleperson,90,446,203,1257.3494712357767,176.19690969266668,9.0,35.1897847148898,2.1060285106499648,4.0,-0.761034891974548,-0.011800306877338684,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
449,4,bicycleperson,100,458,190,1233.7040865018494,176.22602707331075,10.0,34.44101547464781,2.096012723513827,1.0,-0.7487692402419839,-0.01001578713613771,0.012265651732564109,0.001784519741200974,0.012265651732564109,0.001784519741200974,0.09999999999999999,10.0,40,2.3
534,13,bicycleperson,50,532,174,1188.063282552197,146.64569586196896,5.0,34.60214327025074,1.0207980552585512,,-2.6620586544265183,0.06321563759350224,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
