loss,K,loss_ik,loss_k_mean,params,ITERATION,si_mean,si_std,si_group,n_boundary,levels,train_time,labels,si_sample
1.0,4,0.431210133417206,0.431210133417206,"{'algo': 'Birch', 'branching_factor': 50, 'num_clusters_B': 4, 'threshold': 2}",1,0.6567541752496553,0.1759286173337226,"[['0', 0.8150598933556256], ['1', 0.7214725631765494], ['2', 0.4060774910691156], ['3', 0.6844067533973305]]",0,"{'2': 17, '1': 27, '0': 8, '3': 42}",0.009676699999999983,"[1 0 3 0 3 0 1 2 2 0 1 2 1 3 2 0 0 1 3 0 3 0 0 0 0 2 1 1 1 2 2 3 2 0 0 1 0
 0 2 0 0 3 1 2 2 2 1 2 2 3 2 2 2 0 2 2 2 0 2 0 0 1 2 2 2 0 2 0 1 1 2 2 2 2
 1 2 2 2 2 2 2 1 2 2 2 0 2 0 0 2 2 0 1 2]","[ 0.27055801  0.84215137  0.82430717  0.84852412  0.83732351  0.83448208
  0.27777762  0.70358894  0.6670266   0.8480659   0.66174577  0.70101844
  0.3800955   0.78678649  0.7076465   0.83038486 -0.2540588   0.53408619
  0.85883754  0.84255057  0.84273193  0.8478623   0.63512357  0.76480247
  0.74786162  0.68344968  0.15742917  0.52486472  0.59344499  0.63567969
  0.65825086  0.82524208  0.68767505  0.84408208  0.84465912  0.60075606
  0.83609985  0.11211715  0.76143415  0.82510988  0.84191981  0.7124533
  0.50445124  0.6965559   0.71674404  0.76091593 -0.31677983  0.74806275
  0.7349047   0.83279713  0.78020429  0.78602466  0.73183418  0.84560532
  0.75031807  0.73652505  0.47745459  0.7970144   0.75646512  0.84398479
  0.84398479  0.51880474  0.11310919  0.5899299   0.71125515  0.79796073
  0.75256984  0.78034719  0.66219713  0.53877254  0.56388392  0.70056898
  0.73273195  0.77844204  0.52992314  0.75851762  0.78011701  0.7710707
  0.67459458  0.7414785   0.60059056  0.26387343  0.44808225  0.73117502
  0.7640032   0.80463452  0.44916365  0.46705768  0.84447454  0.67609529
  0.76113426  0.36295728  0.20131694  0.76479086]"
0.9845287178868287,4,0.418070670506403,0.4246404019618045,"{'algo': 'k-means++', 'algorithm_K': 'elkan', 'n_init_K': 56, 'num_clusters_K': 4}",2,0.639092915098624,0.11432717121005395,"[['0', 0.6320297876146266], ['1', 0.49022220693418855], ['2', 0.7662637461890992], ['3', 0.6678559196565816]]",1,"{'1': 16, '2': 26, '0': 10, '3': 42}",0.522316,"[0 1 3 1 3 1 0 2 2 1 0 2 0 3 2 1 3 0 3 1 3 1 1 1 1 2 0 0 0 2 2 3 2 1 1 0 1
 1 2 1 1 3 0 2 2 2 3 2 2 3 2 2 2 1 2 2 2 1 2 1 1 0 2 2 2 1 2 1 0 0 2 2 2 2
 0 2 2 2 2 2 2 0 2 2 2 1 2 1 1 2 2 1 0 2]","[0.27839181 0.85688966 0.73502584 0.86375864 0.74653693 0.84889118
 0.2840295  0.69183464 0.64816603 0.86329426 0.68249782 0.68397293
 0.44624266 0.73429537 0.69603688 0.84488746 0.20792987 0.58063645
 0.77593749 0.85730656 0.76245202 0.86295653 0.62947724 0.77660051
 0.75893653 0.66600559 0.23636282 0.56087498 0.63207204 0.61451687
 0.64096199 0.75881136 0.6701335  0.85891299 0.85952574 0.62143131
 0.85085056 0.05083804 0.751779   0.83893346 0.85662104 0.64205371
 0.51726607 0.68500274 0.70501651 0.74911611 0.21150149 0.737915
 0.72489214 0.74575378 0.76959262 0.77650587 0.7217517  0.8605346
 0.73743623 0.72531497 0.45109575 0.81008909 0.74692134 0.85880983
 0.85880983 0.55350442 0.03449334 0.56541357 0.70006874 0.81113586
 0.74299247 0.79279752 0.67925402 0.58964078 0.5387269  0.68500286
 0.72217246 0.76786309 0.575433   0.74665995 0.77034457 0.76088266
 0.65538794 0.72932129 0.58193468 0.33013701 0.40909958 0.71863822
 0.75291434 0.81750052 0.41009047 0.44533055 0.85948936 0.65713443
 0.75151329 0.32967985 0.27578061 0.75532535]"
1.0,9,0.5860743611148297,0.5860743611148297,"{'algo': 'k-means++', 'algorithm_K': 'elkan', 'n_init_K': 61, 'num_clusters_K': 9}",3,0.4927777281905126,0.15770417861068453,"[['0', 0.6932453637216326], ['1', 0.5357574690686733], ['2', 0.7444321801958116], ['3', 0.3677146843904328], ['4', 0.28719437288810884], ['5', 0.440584712382086], ['6', 0.31693548291334994], ['7', 0.520741102212471], ['8', 0.5283941859420469]]",1,"{'3': 7, '0': 15, '2': 8, '4': 17, '6': 15, '5': 11, '8': 7, '1': 5, '7': 9}",0.4963367000000005,"[5 6 2 6 2 6 5 3 8 6 5 8 0 2 3 1 4 0 2 6 2 6 4 1 1 8 0 0 0 8 8 2 8 6 6 5 1
 4 3 6 6 2 5 7 7 8 5 7 7 2 3 3 7 6 8 7 8 1 3 6 6 0 0 8 7 1 7 1 5 0 8 3 7 3
 0 3 3 3 8 3 3 0 8 3 3 6 8 4 6 8 3 4 0 3]","[ 0.62334037  0.78024766  0.75722636  0.53082807  0.77509813  0.64131747
  0.62778685  0.43373593  0.23373331  0.54449206  0.11677782  0.4024734
  0.58711812  0.68843837  0.43920099  0.26994392  0.46277145  0.59296361
  0.81399747  0.782002    0.79315554  0.76453501  0.23377584  0.69604344
  0.65134724  0.10948434  0.40466163  0.45587879  0.38314589  0.28323086
  0.17606193  0.77258767  0.41702064  0.7930769   0.79813488  0.29032747
  0.0625338   0.69916301  0.35085889  0.6618989   0.77375652  0.58402345
  0.58011717  0.63684013  0.5760034   0.06658016  0.06041763  0.31413732
  0.49705049  0.77093044  0.19502332  0.26028719  0.53700824  0.80006642
  0.20979603  0.53374923  0.18151964  0.65153155  0.07223775  0.79222431
  0.79222431  0.44298545 -0.00481654  0.48805528  0.6527357   0.66924432
  0.30468944  0.69811503  0.27523549  0.60623063  0.41369363  0.05338717
  0.63445597  0.17793874  0.49702384  0.29933863  0.44811233  0.5277703
  0.47497327  0.1693811   0.05140064  0.45539124  0.4021692   0.41923243
  0.45055397  0.49206686  0.4131585   0.60988473  0.45180908  0.48208206
  0.2848566   0.67319232  0.42584917  0.24898834]"
1.0,3,0.45160622427417835,0.45160622427417835,"{'algo': 'FuzzCMeans', 'm': 37, 'num_clusters_F': 3}",4,0.6436612405708773,0.19053492969011124,"[['0', 0.4276875563136747], ['1', 0.7879810596390754], ['2', 0.7153151057598816]]",0,"{'0': 18, '1': 27, '2': 49}",0.03152459999999735,"[2 0 2 0 2 0 2 1 1 0 2 1 1 2 1 0 0 1 2 0 2 0 0 0 0 1 1 2 2 1 1 2 1 0 0 2 0
 0 1 0 0 2 2 1 1 1 2 1 1 2 1 1 1 0 1 1 1 0 1 0 0 2 1 1 1 0 1 0 2 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1]","[ 0.56084423  0.87086881  0.66694513  0.87604429  0.67156694  0.86449837
  0.56319281  0.76295687  0.78314659  0.87564516  0.2504165   0.80136567
  0.39693761  0.49542519  0.76534818  0.86094444  0.15971799  0.17205664
  0.61177954  0.87120042  0.60576113  0.87555512  0.7214446   0.80591127
  0.79162887  0.78830547  0.51431654 -0.12233709 -0.08410554  0.77153501
  0.76790018  0.55209343  0.79386711  0.87247798  0.87294799  0.3057643
  0.86569525  0.39464887  0.79764685  0.85682019  0.87071157  0.66598472
  0.48077652  0.75712606  0.77679902  0.81676114  0.62209262  0.79044786
  0.77707763  0.66614515  0.82440761  0.82004832  0.77515955  0.87371612
  0.81571338  0.79003808  0.67810846  0.83308464  0.79206109  0.87239862
  0.87239862 -0.11648294  0.61638792  0.75462872  0.76701275  0.83380208
  0.78925597  0.81899628  0.30251337  0.20681067  0.73687152  0.79031502
  0.78058522  0.82264351  0.15098148  0.81428455  0.81657204  0.81159677
  0.7925737   0.80119721  0.72533021  0.43609208  0.71221434  0.79463659
  0.81279352  0.8398254   0.71376041  0.60880033  0.87272208  0.79264954
  0.79701542  0.54298323  0.48597026  0.79912984]"
1.0102612697424391,4,0.431210133417206,0.42683031244693836,"{'algo': 'Birch', 'branching_factor': 70, 'num_clusters_B': 4, 'threshold': 2}",5,0.6567541752496553,0.1759286173337226,"[['0', 0.8150598933556256], ['1', 0.7214725631765494], ['2', 0.4060774910691156], ['3', 0.6844067533973305]]",0,"{'2': 17, '1': 27, '0': 8, '3': 42}",0.004501099999998814,"[1 0 3 0 3 0 1 2 2 0 1 2 1 3 2 0 0 1 3 0 3 0 0 0 0 2 1 1 1 2 2 3 2 0 0 1 0
 0 2 0 0 3 1 2 2 2 1 2 2 3 2 2 2 0 2 2 2 0 2 0 0 1 2 2 2 0 2 0 1 1 2 2 2 2
 1 2 2 2 2 2 2 1 2 2 2 0 2 0 0 2 2 0 1 2]","[ 0.27055801  0.84215137  0.82430717  0.84852412  0.83732351  0.83448208
  0.27777762  0.70358894  0.6670266   0.8480659   0.66174577  0.70101844
  0.3800955   0.78678649  0.7076465   0.83038486 -0.2540588   0.53408619
  0.85883754  0.84255057  0.84273193  0.8478623   0.63512357  0.76480247
  0.74786162  0.68344968  0.15742917  0.52486472  0.59344499  0.63567969
  0.65825086  0.82524208  0.68767505  0.84408208  0.84465912  0.60075606
  0.83609985  0.11211715  0.76143415  0.82510988  0.84191981  0.7124533
  0.50445124  0.6965559   0.71674404  0.76091593 -0.31677983  0.74806275
  0.7349047   0.83279713  0.78020429  0.78602466  0.73183418  0.84560532
  0.75031807  0.73652505  0.47745459  0.7970144   0.75646512  0.84398479
  0.84398479  0.51880474  0.11310919  0.5899299   0.71125515  0.79796073
  0.75256984  0.78034719  0.66219713  0.53877254  0.56388392  0.70056898
  0.73273195  0.77844204  0.52992314  0.75851762  0.78011701  0.7710707
  0.67459458  0.7414785   0.60059056  0.26387343  0.44808225  0.73117502
  0.7640032   0.80463452  0.44916365  0.46705768  0.84447454  0.67609529
  0.76113426  0.36295728  0.20131694  0.76479086]"
0.8292197132696474,3,0.31985573044557974,0.38573097735987905,"{'algo': 'Birch', 'branching_factor': 50, 'num_clusters_B': 3, 'threshold': 4}",6,0.7025700625909509,0.04485158607306124,"[['0', 0.6772289523649663], ['1', 0.7543562906836466], ['2', 0.67612494472424]]",1,"{'0': 12, '1': 27, '2': 55}",0.003893600000001385,"[2 1 2 1 2 1 2 0 0 1 0 0 0 2 0 1 1 0 2 1 2 1 1 1 1 0 0 0 0 0 0 2 0 1 1 0 1
 1 0 1 1 2 2 0 0 0 2 0 0 2 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0]","[ 0.50273632  0.8561633   0.80000873  0.8619827   0.80609245  0.84913725
  0.50374668  0.75669764  0.78688542  0.86155142  0.02861672  0.80125803
  0.55709659  0.6789076   0.75856452  0.84535068 -0.06245157  0.42583741
  0.77830206  0.85652975  0.77007004  0.86138783  0.67861043  0.78494121
  0.76930004  0.78953855  0.62537803  0.3445881   0.32314791  0.77984115
  0.77423209  0.72911783  0.79598796  0.85793968  0.8584645  -0.10325547
  0.85058998  0.26125302  0.78448522  0.84057533  0.85597086  0.77946792
  0.31671858  0.75360443  0.77198371  0.8077337   0.66134625  0.77999884
  0.76710396  0.80023297  0.8120424   0.80563265  0.76576588  0.85932473
  0.80860286  0.7827556   0.7110528   0.81468928  0.77918172  0.85785117
  0.85785117  0.33875536  0.68670539  0.77092372  0.76163703  0.81552084
  0.77714886  0.79928232 -0.05378761  0.44406461  0.75667081  0.78858025
  0.77238202  0.81049148  0.39694596  0.8044905   0.80265399  0.79865941
  0.79632496  0.79355253  0.73610667  0.57969319  0.74443202  0.78742093
  0.80152982  0.82180062  0.74586819  0.53971876  0.85829143  0.79633988
  0.78381831  0.45599313  0.60553953  0.78556571]"
1.0,6,0.45888043744000007,0.45888043744000007,"{'algo': 'Ward', 'n_neighbors': 10, 'num_clusters_W': 6}",7,0.6000305074698277,0.1178218898196555,"[['0', 0.5443669475116962], ['1', 0.6944958256134551], ['2', 0.5694041192848349], ['3', 0.7441744061873415], ['4', 0.4141625293942917], ['5', 0.6335792168273466]]",1,"{'2': 4, '3': 22, '1': 8, '5': 41, '4': 14, '0': 5}",0.007356900000001332,"[5 1 3 1 3 1 5 0 0 1 2 0 2 3 0 1 4 2 3 1 3 1 4 1 1 0 2 2 2 0 0 3 0 1 1 2 1
 4 0 1 1 3 5 0 0 0 5 0 0 3 0 0 0 1 0 0 0 1 0 1 1 2 2 0 0 1 0 1 2 2 0 0 0 0
 2 0 0 0 0 0 0 2 0 0 0 1 0 4 1 0 0 4 2 0]","[ 0.72863929  0.78207946  0.70020279  0.79872146  0.72134394  0.76169779
  0.73885409  0.65895042  0.58003631  0.79778185  0.19791656  0.62220028
  0.60440431  0.68647831  0.66375188  0.75409363  0.46277145  0.62796548
  0.77865896  0.7830905   0.75436698  0.79717448  0.2565347   0.61276211
  0.57863441  0.60382887  0.45485834  0.52148738  0.54870002  0.53506545
  0.58251506  0.73616827  0.60659458  0.78727116  0.78887586 -0.08410383
  0.76792417  0.70609786  0.72703519  0.73680643  0.78117228  0.46018783
  0.49419577  0.65298841  0.67167261  0.71302508  0.31592732  0.71116143
  0.69923396  0.71855953  0.73851123  0.75113256  0.69564891  0.79143298
  0.69578907  0.69382651  0.35791333  0.67826992  0.72293133  0.78699907
  0.78699907  0.50971477  0.1738126   0.47318409  0.66944013  0.68151349
  0.71880346  0.64448925  0.03735742  0.6521946   0.44715352  0.63214204
  0.69398084  0.73703983  0.58025116  0.71016484  0.74392218  0.73283519
  0.58366826  0.69312983  0.52214298  0.49903518  0.24541474  0.68038319
  0.72047706  0.68634665  0.24412623  0.61502346  0.7877009   0.58653904
  0.72702092  0.68140727  0.47468142  0.73136709]"
1.0137325153715637,9,0.6023950353707004,0.5942346982427651,"{'algo': 'Ward', 'n_neighbors': 10, 'num_clusters_W': 9}",8,0.4932480400063866,0.19128615075417388,"[['0', 0.6250937074009408], ['1', 0.5358497928651238], ['2', 0.6944958256134551], ['3', 0.5112155218030161], ['4', 0.5234649548450547], ['5', 0.15609818643326087], ['6', 0.3412105418673534], ['7', 0.3104136281689603], ['8', 0.7413902010603144]]",4,"{'3': 4, '0': 17, '2': 8, '7': 27, '6': 14, '5': 9, '4': 5, '1': 5, '8': 5}",0.0041565000000005625,"[5 6 3 6 3 6 5 0 2 6 4 2 8 3 0 6 1 4 3 6 3 6 1 7 7 2 8 4 4 2 2 3 2 6 6 4 6
 1 0 6 6 3 5 0 0 0 5 0 0 3 0 0 0 6 0 0 2 7 0 6 6 4 8 2 0 7 0 7 4 4 2 2 0 0
 4 0 0 0 2 0 0 8 2 0 0 6 2 1 6 2 0 1 8 0]","[ 0.67765962  0.76457196  0.70020279  0.62005287  0.72134394  0.6573017
  0.68864056  0.36473916  0.3827349   0.62152148  0.40656932  0.46235497
  0.49236322  0.68647831  0.37485425 -0.10022748  0.46277145  0.06748507
  0.77865896  0.76647924  0.75436698  0.76069388  0.23315442  0.80641288
  0.75517173  0.34193931  0.69380654  0.23531651  0.22133409  0.41832632
  0.18745062  0.73616827  0.41100486  0.77655059  0.78031704  0.10028783
  0.13651322  0.70003742  0.50653217  0.66461666  0.76183865  0.46018783
  0.36263458  0.35975324  0.30061781 -0.00645057  0.31592732  0.45235743
  0.48882371  0.71855953  0.15727605  0.41786804  0.48155532  0.78214734
 -0.20661713  0.31697866  0.22907101  0.65588499  0.52660412  0.77590571
  0.77590571  0.22881997  0.42488775  0.44914745  0.38228668  0.70009981
  0.51912823  0.78938161  0.27977767 -0.14134975  0.36601034  0.17269519
  0.42540886  0.18585939  0.00664297  0.0372428   0.40620352  0.37868494
  0.51220061  0.15609972 -0.04110928  0.36010762  0.17327011  0.14433273
  0.21834613  0.51673221  0.17026553  0.60941116  0.56567222  0.50047636
  0.5110989   0.67387451  0.64615965  0.52269311]"
1.0,7,0.5785394942730812,0.5785394942730812,"{'algo': 'k-means++', 'algorithm_K': 'elkan', 'n_init_K': 51, 'num_clusters_K': 7}",9,0.5102377125447916,0.17755441363574534,"[['0', 0.5443669475116962], ['1', 0.7444321801958116], ['2', 0.3677146843904328], ['3', 0.7441744061873415], ['4', 0.4715422314068981], ['5', 0.299362581498068], ['6', 0.4000709566232936]]",1,"{'2': 7, '3': 22, '1': 8, '6': 18, '5': 23, '4': 11, '0': 5}",0.42498199999999997,"[3 2 4 2 4 2 3 6 0 2 3 0 5 4 6 2 1 5 4 2 4 2 1 2 2 0 5 5 5 0 0 4 0 2 2 3 2
 1 6 2 2 4 3 6 6 0 3 6 6 4 0 6 6 2 0 6 0 2 6 2 2 5 5 0 6 2 6 2 3 5 0 0 6 0
 5 0 6 6 0 0 0 5 0 0 0 2 0 1 2 0 6 1 5 6]","[0.62334037 0.78207946 0.75722636 0.79872146 0.77509813 0.76169779
 0.62778685 0.28407925 0.46081371 0.79778185 0.11677782 0.51164894
 0.62578702 0.68843837 0.29242807 0.75409363 0.46277145 0.59296361
 0.81399747 0.7830905  0.79315554 0.79717448 0.2565347  0.61276211
 0.57863441 0.44450636 0.46722887 0.45587879 0.38314589 0.45741734
 0.21491045 0.77258767 0.45056168 0.78727116 0.78887586 0.29032747
 0.76792417 0.70609786 0.47372637 0.73680643 0.78117228 0.58402345
 0.58011717 0.40377825 0.31132462 0.19052885 0.06041763 0.44812732
 0.53127032 0.77093044 0.11321756 0.26052722 0.53272145 0.79143298
 0.34011792 0.29959459 0.19592347 0.67826992 0.53212911 0.78699907
 0.78699907 0.44298545 0.11947457 0.42535627 0.42308319 0.68151349
 0.55460594 0.64448925 0.27523549 0.60623063 0.36585195 0.35280086
 0.45608054 0.05262051 0.49702384 0.22325698 0.23132387 0.1726342
 0.52534488 0.06272327 0.1653765  0.51704221 0.36250465 0.05833031
 0.03880983 0.68634665 0.36120578 0.61502346 0.7877009  0.5115113
 0.48564262 0.68140727 0.47920367 0.50820028]"
1.0,0,1.0,1,"{'algo': 'MeanShift', 'quantile': 30}",10,0,0,[],0,[],0.17894969999999688,[],[]
